Province,SC01,SC02,SC03,SC04,SC05,SC06,SC07,SC08,SC09,SC10,SC11,SC12,SC13,SC14,SC15,SC16,SC17,SC18,SC19,SC20,SC21,SC22,SC23,SC24,SC25,SC26,SC27,SC28
P01,0.77,0.89,0.77,0.68,0.75,0.44,0.86,0.83,0.85,0.6,0.87,0.68,0.82,0.87,0.59,0.64,0.66,0.82,0.69,0.69,0.47,0.73,0.65,0.7,0.81,0.84,0.81,0.71
P02,0.85,0.68,0.87,0.66,0.94,0.81,0.9,0.87,0.7,0.77,0.85,0.81,0.82,0.89,0.64,0.87,0.79,0.84,0.97,0.69,0.63,0.72,0.74,1.0,0.95,0.96,0.86,0.8
P03,1.0,0.77,0.84,0.67,0.73,0.61,0.86,0.79,0.76,0.69,0.88,0.92,0.94,0.89,0.78,0.75,0.67,0.97,0.73,0.76,0.67,0.82,0.76,0.83,0.67,0.9,0.72,0.63
P04,0.54,0.87,0.72,0.68,0.84,0.57,0.9,0.76,0.73,0.81,0.78,0.77,0.82,0.9,0.78,0.67,0.57,0.91,0.78,0.82,0.54,0.63,0.75,0.76,0.75,0.92,0.89,0.72
P05,0.67,0.7,0.57,0.73,0.83,0.58,0.91,0.91,0.62,0.52,0.82,0.75,0.77,0.69,0.62,0.54,0.62,0.75,0.73,0.72,0.61,0.54,0.67,0.74,0.68,0.82,0.79,0.5
P06,0.64,0.61,0.61,0.69,0.64,0.66,0.87,0.49,0.53,0.5,0.72,0.63,0.96,0.68,0.59,0.68,0.64,0.78,0.55,0.57,0.47,0.74,0.73,0.78,0.67,0.79,0.78,0.8
P07,0.63,0.69,0.82,0.61,0.71,0.56,0.96,0.68,0.59,0.61,0.86,0.81,0.8,0.8,0.48,0.69,0.61,0.85,0.7,0.55,0.63,0.47,0.78,0.81,0.85,0.79,0.71,0.61
P08,0.8,0.68,0.78,0.83,0.88,0.62,0.92,0.98,0.73,0.7,1.0,0.77,0.89,0.88,0.7,0.73,0.68,0.89,0.95,0.73,0.71,0.79,0.74,0.85,0.82,1.0,0.71,0.77
P09,0.66,0.67,0.78,0.75,0.92,0.7,0.93,0.74,0.55,0.59,0.96,0.8,0.75,0.86,0.63,0.8,0.72,1.0,0.83,0.63,0.74,0.79,0.63,0.84,0.95,0.91,0.58,0.67
P10,0.71,0.84,0.87,0.55,0.81,0.61,0.95,0.87,0.65,0.7,0.73,0.79,0.74,0.81,0.72,0.69,0.66,0.91,0.79,0.86,0.74,0.7,0.67,0.86,0.7,0.74,0.88,0.6
P11,0.72,0.76,0.84,0.7,0.8,0.56,0.83,0.77,0.62,0.48,0.79,0.64,0.84,0.7,0.68,0.67,0.61,0.7,0.74,0.54,0.66,0.76,0.64,0.74,0.81,0.82,0.79,0.74
P12,0.81,0.77,0.86,0.75,1.0,0.66,1.0,0.92,0.66,0.69,0.84,0.94,0.84,0.97,0.8,0.71,0.72,0.83,0.88,0.71,0.79,0.69,0.94,1.0,0.75,0.91,0.76,0.81
P13,0.77,0.65,0.96,0.54,0.92,0.71,0.92,0.93,0.69,0.84,0.96,0.91,0.91,1.0,0.78,0.74,0.56,0.98,0.83,0.8,0.74,0.8,0.85,0.82,0.85,0.8,0.88,0.77
P14,0.75,0.74,0.8,0.7,0.77,0.59,0.88,0.86,0.6,0.55,0.87,0.71,0.88,0.75,0.5,0.71,0.71,0.76,0.76,0.72,0.47,0.67,0.63,0.67,0.57,0.77,0.83,0.74
P15,0.61,0.73,0.81,0.64,0.81,0.62,0.85,0.89,0.77,0.58,0.81,0.79,0.9,0.78,0.65,0.65,0.56,0.8,0.68,0.54,0.58,0.65,0.73,0.7,0.64,0.95,0.73,0.64
P16,0.64,0.69,0.62,0.61,0.73,0.54,0.87,0.74,0.66,0.49,0.74,0.75,0.99,0.76,0.65,0.83,0.72,0.57,0.75,0.63,0.62,0.6,0.57,0.62,1.0,0.84,0.67,0.47
P17,0.55,0.52,0.49,0.51,0.62,0.44,0.72,0.54,0.41,0.47,0.53,0.63,0.48,0.54,0.45,0.36,0.52,0.63,0.61,0.51,0.41,0.39,0.38,0.57,0.67,0.51,0.43,0.53
P18,0.57,0.57,0.59,0.49,0.64,0.26,0.74,0.68,0.75,0.39,0.63,0.75,0.55,0.61,0.53,0.62,0.5,0.68,0.56,0.59,0.61,0.73,0.62,0.5,0.6,0.67,0.8,0.52
P19,0.49,0.81,0.55,0.5,0.66,0.54,0.72,0.61,0.59,0.46,0.66,0.6,0.55,0.79,0.32,0.55,0.51,0.54,0.59,0.5,0.5,0.54,0.44,0.58,0.55,0.76,0.55,0.41
P20,0.47,0.55,0.61,0.43,0.58,0.4,0.67,0.62,0.47,0.49,0.49,0.68,0.42,0.54,0.24,0.4,0.49,0.65,0.61,0.47,0.42,0.43,0.55,0.51,0.59,0.58,0.52,0.49
P21,0.58,0.59,0.66,0.5,0.7,0.46,0.63,0.67,0.53,0.45,0.52,0.58,0.52,0.67,0.51,0.57,0.49,0.71,0.62,0.7,0.53,0.49,0.64,0.59,0.6,0.79,0.59,0.53
