Province,SC01,SC02,SC03,SC04,SC05,SC06,SC07,SC08,SC09,SC10,SC11,SC12,SC13,SC14,SC15,SC16,SC17,SC18,SC19,SC20,SC21,SC22,SC23,SC24,SC25,SC26,SC27,SC28
P01,0.79,0.8,0.92,0.61,1.0,0.84,1.0,0.98,0.78,0.71,0.93,0.94,0.9,1.0,0.67,0.81,0.78,0.98,0.83,0.89,0.85,0.78,1.0,1.0,0.86,0.9,0.83,0.83
P02,0.85,0.88,0.96,1.0,1.0,0.97,1.0,1.0,0.88,0.96,1.0,1.0,1.0,0.84,0.92,0.99,0.79,1.0,0.96,0.92,0.87,0.92,0.89,1.0,1.0,1.0,0.99,0.87
P03,0.97,0.72,0.68,0.8,1.0,0.83,1.0,0.92,0.9,0.85,1.0,0.98,1.0,1.0,0.89,0.77,0.75,1.0,0.92,0.85,0.69,0.86,0.8,1.0,0.91,1.0,0.84,0.83
P04,0.87,1.0,0.92,0.84,1.0,0.7,1.0,0.98,0.88,0.73,0.92,0.89,0.98,1.0,0.74,0.91,0.69,1.0,0.89,0.89,0.85,0.86,0.83,0.86,0.98,1.0,0.97,0.79
P05,0.73,0.8,0.79,0.77,0.93,0.74,0.98,0.9,0.78,0.75,0.86,0.99,1.0,0.87,0.67,0.78,0.79,1.0,0.83,0.7,0.71,0.8,0.82,0.99,0.88,1.0,0.89,0.88
P06,0.95,0.75,0.94,0.68,0.92,0.76,0.97,0.89,0.92,0.95,0.98,0.91,0.87,0.92,0.71,0.89,0.69,0.84,0.8,0.81,0.7,0.95,0.81,0.89,0.9,0.91,0.81,0.74
P07,0.69,0.6,0.82,0.82,0.96,0.72,0.91,1.0,0.86,0.61,0.94,0.88,0.83,0.89,0.85,0.75,0.74,0.78,0.92,0.61,0.66,0.8,0.82,0.92,0.84,0.84,0.78,0.69
P08,0.9,0.95,1.0,0.72,1.0,0.95,1.0,1.0,0.93,0.79,1.0,0.98,0.8,0.98,0.83,1.0,0.93,1.0,1.0,0.92,0.99,0.89,0.99,0.95,1.0,0.93,0.86,0.97
P09,1.0,0.83,0.87,0.78,0.9,0.84,1.0,0.95,0.83,0.67,0.96,0.98,1.0,0.84,0.99,0.95,0.88,1.0,0.99,1.0,0.81,0.93,0.83,1.0,1.0,1.0,0.85,0.87
P10,0.92,0.7,0.83,0.91,0.97,0.95,1.0,0.95,0.83,0.78,1.0,0.94,1.0,1.0,0.92,0.81,0.81,1.0,0.94,0.91,0.83,1.0,0.96,1.0,0.86,1.0,0.93,0.92
P11,0.89,0.83,0.87,0.81,0.96,0.69,0.8,0.88,0.72,0.7,0.89,0.95,0.98,0.93,0.74,0.92,0.55,0.9,0.82,0.77,0.77,0.82,0.99,0.96,0.98,0.99,0.87,0.68
P12,0.83,0.86,1.0,0.89,0.95,0.8,1.0,0.81,0.93,0.97,1.0,1.0,1.0,1.0,0.98,0.96,0.72,1.0,1.0,1.0,0.91,0.88,1.0,1.0,0.88,1.0,0.88,0.88
P13,0.88,1.0,0.97,0.85,0.98,0.76,1.0,0.9,0.82,0.84,0.99,0.96,1.0,0.95,0.84,0.91,0.81,1.0,0.93,0.95,0.96,1.0,0.92,0.91,1.0,1.0,0.95,0.94
P14,0.93,0.69,0.92,0.82,0.97,0.83,0.95,0.86,0.71,0.7,0.77,0.89,0.9,0.93,0.78,0.76,0.67,0.87,0.96,0.8,0.86,0.9,0.78,0.95,0.92,1.0,0.75,0.89
P15,0.9,0.72,0.84,0.73,0.95,0.71,0.94,0.9,0.59,0.66,1.0,0.95,0.94,1.0,0.76,0.83,0.81,0.99,0.92,0.88,0.75,0.84,0.88,0.94,0.85,1.0,0.79,0.91
P16,0.96,0.8,0.84,0.64,0.86,0.74,1.0,0.96,0.72,0.85,1.0,1.0,1.0,0.9,0.73,0.9,0.83,1.0,0.84,0.86,0.86,0.84,0.87,0.93,0.91,0.95,0.77,0.76
