Province,SC01,SC02,SC03,SC04,SC05,SC06,SC07,SC08,SC09,SC10,SC11,SC12,SC13,SC14,SC15,SC16,SC17,SC18,SC19,SC20,SC21,SC22,SC23,SC24,SC25,SC26,SC27,SC28
P01,0.55,0.59,0.8,0.68,0.71,0.43,0.88,0.93,0.84,0.69,0.93,0.86,0.76,0.77,0.68,0.65,0.63,0.81,0.85,0.61,0.66,0.72,0.72,0.77,0.62,0.81,0.66,0.62
P02,0.82,0.86,0.69,0.66,0.78,0.64,1.0,0.93,0.63,0.68,0.81,0.92,0.91,1.0,0.92,0.88,0.66,0.95,0.97,0.79,0.64,0.72,0.71,0.71,0.94,0.92,0.96,0.74
P03,0.68,0.76,0.66,0.82,0.8,0.76,0.99,0.85,0.81,0.82,0.96,0.75,0.8,0.96,0.93,0.8,0.67,0.96,0.67,0.69,0.66,0.77,0.79,0.85,0.8,0.86,0.74,0.84
P04,0.84,1.0,0.8,0.67,0.89,0.73,0.87,0.74,0.87,0.67,0.98,0.67,0.89,0.91,0.64,0.77,0.71,0.95,0.79,0.8,0.61,0.73,0.68,0.89,0.95,0.79,0.73,0.75
P05,0.65,0.7,0.67,0.73,0.84,0.51,0.82,0.77,0.65,0.64,0.8,0.54,0.82,0.64,0.59,0.69,0.76,0.73,0.82,0.83,0.6,0.6,0.8,0.8,0.72,0.84,0.63,0.48
P06,0.8,0.62,0.65,0.71,0.85,0.64,0.95,0.7,0.58,0.56,0.86,0.74,0.8,0.82,0.51,0.59,0.65,0.79,0.69,0.64,0.69,0.65,0.7,0.85,0.59,0.87,0.73,0.66
P07,0.62,0.62,0.79,0.72,0.7,0.53,0.83,0.7,0.61,0.39,0.81,0.86,0.67,0.81,0.61,0.67,0.62,0.75,0.73,0.77,0.56,0.58,0.75,0.77,0.76,0.86,0.75,0.52
P08,0.75,0.77,0.78,0.72,0.9,0.56,1.0,0.85,0.84,0.79,0.83,0.76,0.89,0.92,0.85,0.78,0.89,1.0,0.8,0.53,0.54,0.92,0.95,1.0,0.83,0.97,0.75,0.77
P09,0.69,0.64,0.78,0.71,0.82,0.9,0.86,0.87,0.66,0.73,0.92,0.83,0.92,0.78,0.61,0.63,0.7,0.79,0.95,0.81,0.61,0.97,0.73,0.74,0.94,0.79,0.88,0.72
P10,0.74,0.67,0.88,0.74,0.86,0.66,1.0,0.83,0.63,0.76,0.82,0.83,0.91,0.87,0.73,0.89,0.76,0.92,0.8,0.69,0.84,0.7,0.63,0.85,0.9,0.94,0.7,0.64
P11,0.69,0.47,0.74,0.6,0.73,0.52,0.83,0.87,0.58,0.5,0.75,0.79,0.8,0.79,0.51,0.61,0.59,0.81,0.71,0.68,0.59,0.64,0.6,0.81,0.6,0.84,0.54,0.66
P12,0.72,0.69,0.86,0.77,0.93,0.68,1.0,0.89,0.7,0.7,0.97,0.94,0.89,0.96,0.66,0.69,0.85,0.86,0.86,0.74,0.72,0.55,0.88,0.9,1.0,0.97,0.85,0.7
P13,0.68,0.9,0.81,0.55,0.83,0.51,0.99,0.95,0.87,0.85,0.75,1.0,0.87,0.92,0.63,0.74,0.79,0.77,1.0,0.75,0.69,0.79,0.78,0.85,0.94,0.99,0.7,0.63
P14,0.55,0.67,0.7,0.89,0.89,0.66,0.93,0.86,0.59,0.55,0.75,0.79,0.87,0.99,0.71,0.66,0.61,0.76,0.79,0.42,0.62,0.68,0.8,1.0,0.78,0.76,0.79,0.55
P15,0.53,0.7,0.66,0.81,0.85,0.64,0.82,0.76,0.66,0.65,0.82,0.7,0.79,0.83,0.77,0.67,0.59,0.67,0.55,0.73,0.59,0.73,0.73,0.73,0.83,0.78,0.69,0.6
