Province,SC01,SC02,SC03,SC04,SC05,SC06,SC07,SC08,SC09,SC10,SC11,SC12,SC13,SC14,SC15,SC16,SC17,SC18,SC19,SC20,SC21,SC22,SC23,SC24,SC25,SC26,SC27,SC28
P01,0.85,0.87,0.88,0.78,0.97,0.85,0.95,0.96,0.81,0.8,0.95,1.0,0.92,0.88,0.87,1.0,0.76,0.93,0.89,0.94,0.79,0.84,0.98,0.87,0.95,0.95,0.96,0.85
P02,0.88,0.9,1.0,0.98,1.0,0.79,1.0,1.0,0.84,0.84,1.0,1.0,0.85,1.0,0.9,0.89,0.72,0.87,0.89,0.92,0.93,0.93,0.75,1.0,0.96,1.0,0.89,0.98
P03,0.74,0.89,0.98,0.92,1.0,0.85,0.98,1.0,0.71,0.73,1.0,1.0,0.86,1.0,0.89,0.88,0.9,1.0,0.89,0.84,0.79,0.9,0.83,1.0,0.96,0.89,0.94,0.85
P04,0.76,0.87,1.0,0.84,1.0,0.73,1.0,0.92,0.85,0.74,1.0,1.0,0.91,1.0,0.81,0.83,0.74,1.0,0.88,0.63,0.9,0.83,0.93,1.0,0.96,1.0,0.87,0.77
P05,0.72,0.82,0.96,0.68,0.88,0.84,0.92,1.0,0.88,0.7,1.0,0.94,0.99,0.8,0.72,0.64,0.8,1.0,0.99,0.77,0.83,0.68,0.77,0.89,0.8,1.0,0.75,0.72
P06,0.73,0.81,0.82,0.71,0.99,0.76,1.0,0.95,0.68,0.75,0.85,0.79,0.87,0.99,0.66,0.69,0.73,0.86,0.97,0.68,0.78,0.78,0.68,0.98,0.84,0.88,0.92,0.73
P07,0.87,0.82,0.97,0.7,0.88,0.73,0.9,0.94,0.74,0.64,0.89,0.95,1.0,0.89,0.73,0.8,0.88,0.96,0.87,0.6,0.62,0.88,0.96,0.9,0.82,0.76,0.67,0.71
P08,0.97,0.92,1.0,0.82,1.0,0.92,1.0,1.0,0.74,0.7,1.0,1.0,0.95,1.0,0.81,0.88,0.91,1.0,1.0,0.87,0.95,1.0,0.83,1.0,1.0,0.99,0.86,0.88
P09,0.73,0.63,0.91,0.77,0.88,0.64,0.99,1.0,0.85,0.81,0.95,0.86,1.0,0.95,0.84,0.62,0.92,0.95,0.86,0.77,0.73,0.9,0.97,0.96,1.0,0.96,0.86,0.82
P10,0.8,0.77,1.0,0.72,1.0,0.79,1.0,0.97,0.81,0.81,1.0,0.77,0.9,0.97,0.78,0.76,0.94,1.0,0.87,0.92,0.63,0.86,1.0,0.92,0.94,0.97,0.86,0.75
