Province,SC01,SC02,SC03,SC04,SC05,SC06,SC07,SC08,SC09,SC10,SC11,SC12,SC13,SC14,SC15,SC16,SC17,SC18,SC19,SC20,SC21,SC22,SC23,SC24,SC25,SC26,SC27,SC28
P01,0.82,0.89,0.82,0.73,0.96,0.73,0.96,0.94,0.8,0.76,0.82,0.99,0.88,1.0,0.86,0.79,0.87,0.98,0.96,0.79,0.76,0.82,0.81,0.95,0.95,0.8,0.86,0.54
P02,0.92,0.87,0.91,0.87,0.84,0.86,1.0,1.0,0.88,0.98,1.0,0.94,0.93,0.96,0.83,1.0,0.81,0.9,0.92,0.93,0.96,1.0,0.82,1.0,0.93,1.0,0.84,0.88
P03,0.84,0.89,0.85,0.86,1.0,0.86,1.0,0.91,0.8,0.65,1.0,1.0,1.0,1.0,0.88,0.86,0.81,0.93,0.97,0.86,0.88,0.78,0.9,0.99,0.99,1.0,0.95,0.89
P04,0.75,0.89,0.95,0.85,0.98,0.85,1.0,0.82,0.85,0.84,1.0,0.94,0.88,1.0,0.74,0.74,0.7,0.87,0.93,0.99,0.78,0.73,0.84,0.89,1.0,1.0,0.75,0.8
P05,0.87,0.87,0.74,0.88,0.92,0.88,0.91,0.91,0.94,0.75,0.83,0.94,0.85,0.92,0.81,0.79,0.8,0.81,0.7,0.93,0.54,0.92,0.81,0.91,0.85,0.93,0.96,0.81
P06,0.73,0.72,0.58,0.62,0.96,0.58,0.97,0.89,0.81,0.74,0.88,0.91,0.86,1.0,0.67,0.69,0.6,1.0,0.87,0.81,0.87,0.79,0.94,0.77,0.93,0.91,0.74,0.8
P07,0.92,0.8,0.88,0.67,0.94,0.93,0.84,0.76,0.71,0.82,0.96,0.99,0.84,0.88,0.63,0.74,0.72,0.89,0.76,0.92,0.56,0.76,0.92,0.81,0.74,0.9,0.72,0.65
P08,1.0,0.87,0.94,0.75,0.89,0.87,1.0,1.0,0.85,0.84,0.89,1.0,1.0,1.0,0.8,0.79,0.86,1.0,0.75,0.95,0.69,0.93,0.85,0.97,0.97,0.92,0.79,0.9
P09,0.95,0.73,0.99,0.84,0.95,0.85,1.0,0.93,0.89,0.85,1.0,0.9,1.0,0.91,0.55,1.0,0.75,0.91,1.0,0.9,0.6,0.84,0.96,0.77,1.0,1.0,0.9,0.94
P10,0.77,0.86,0.95,0.82,0.95,0.97,0.94,1.0,1.0,0.76,1.0,1.0,1.0,1.0,0.75,0.95,0.77,0.97,0.94,0.74,0.79,0.87,0.98,0.94,0.85,1.0,1.0,0.82
P11,0.77,0.63,0.8,0.81,1.0,0.63,0.97,0.74,0.63,0.71,1.0,0.85,0.88,0.81,0.5,0.81,0.76,0.85,0.94,0.78,0.74,0.86,0.8,0.91,0.9,0.86,0.76,0.78
P12,1.0,0.97,0.98,0.88,1.0,0.85,1.0,0.99,0.87,0.9,1.0,1.0,0.92,1.0,0.82,1.0,0.88,1.0,1.0,0.91,0.92,0.82,0.86,1.0,1.0,0.93,0.95,1.0
P13,0.87,0.99,0.93,0.84,1.0,0.82,1.0,1.0,0.74,0.69,0.88,0.96,1.0,1.0,0.93,0.96,0.89,1.0,0.97,0.96,0.81,1.0,0.79,1.0,0.92,1.0,0.96,0.82
P14,0.81,0.84,0.83,0.66,0.96,0.68,0.93,1.0,0.84,0.69,0.97,0.83,0.81,0.87,0.7,0.84,0.63,0.79,0.98,0.84,0.66,0.66,0.83,0.81,0.88,0.99,0.75,0.77
P15,0.7,0.89,0.86,0.62,0.83,0.66,0.9,0.85,0.66,0.7,1.0,0.84,0.82,0.84,0.74,0.76,0.85,0.86,0.92,0.82,0.81,0.82,0.94,0.99,0.87,0.87,0.63,0.76
P16,0.79,0.79,0.63,0.81,0.85,0.71,1.0,0.93,0.76,0.81,0.94,0.84,0.74,1.0,0.61,0.77,0.86,0.95,0.96,0.93,0.65,0.75,0.75,0.98,0.71,0.93,0.78,0.75
P17,0.57,0.77,0.61,0.67,0.8,0.57,0.86,0.76,0.6,0.55,0.77,0.7,0.75,0.65,0.62,0.55,0.58,0.75,0.71,0.58,0.65,0.62,0.62,0.65,0.63,0.86,0.56,0.73
P18,0.66,0.66,0.77,0.62,0.84,0.57,0.93,0.69,0.61,0.48,0.81,0.72,0.82,0.67,0.56,0.7,0.59,0.82,0.72,0.67,0.47,0.6,0.79,0.71,0.71,0.95,0.65,0.51
P19,0.83,0.65,0.67,0.65,0.75,0.48,0.95,0.74,0.54,0.51,0.85,0.65,0.71,0.97,0.51,0.59,0.69,0.78,0.68,0.63,0.72,0.58,0.59,0.78,0.84,0.67,0.69,0.6
P20,0.77,0.71,0.84,0.51,0.67,0.68,0.79,0.85,0.5,0.58,0.76,0.66,0.72,0.8,0.48,0.69,0.67,0.73,0.62,0.62,0.55,0.52,0.7,0.65,0.88,0.64,0.44,0.56
P21,0.81,0.72,0.75,0.64,0.91,0.62,0.77,0.87,0.58,0.58,0.81,0.63,0.87,0.76,0.78,0.71,0.76,0.66,0.78,0.59,0.68,0.94,0.61,0.89,0.65,0.74,0.63,0.63
P22,0.6,0.64,0.53,0.57,0.67,0.55,0.91,0.83,0.54,0.54,0.74,0.59,0.75,0.75,0.37,0.64,0.47,0.82,0.59,0.65,0.64,0.8,0.69,0.78,0.73,0.82,0.68,0.47
P23,0.77,0.58,0.57,0.53,0.82,0.57,0.86,0.75,0.53,0.59,0.63,0.73,0.66,0.66,0.59,0.64,0.57,0.69,0.74,0.51,0.47,0.61,0.68,0.7,0.69,0.88,0.76,0.66
P24,0.56,0.66,0.65,0.58,0.78,0.55,0.88,0.75,0.55,0.55,0.76,0.78,0.74,0.73,0.43,0.6,0.63,0.63,0.67,0.51,0.47,0.66,0.61,0.77,0.87,0.86,0.75,0.64
P25,0.58,0.75,0.65,0.58,0.77,0.52,0.76,0.68,0.52,0.46,0.77,0.63,0.79,0.69,0.52,0.76,0.61,0.78,0.79,0.54,0.55,0.76,0.75,0.83,0.72,0.75,0.57,0.56
P26,0.86,0.58,0.98,0.7,0.79,0.71,0.95,0.95,0.76,0.58,0.92,0.8,0.76,0.77,0.72,0.65,0.76,0.78,0.85,0.84,0.77,0.65,0.76,0.84,0.83,0.97,0.72,0.54
P27,0.6,0.62,0.5,0.55,0.8,0.43,0.78,0.65,0.51,0.57,0.8,0.58,0.58,0.71,0.53,0.51,0.41,0.89,0.67,0.6,0.53,0.7,0.58,0.6,0.61,0.68,0.52,0.47
P28,0.69,0.64,0.71,0.64,0.81,0.62,0.92,0.75,0.57,0.47,0.68,0.64,0.75,0.73,0.67,0.59,0.64,0.73,0.76,0.71,0.58,0.76,0.6,0.75,0.65,0.84,0.74,0.6
