Province,SC01,SC02,SC03,SC04,SC05,SC06,SC07,SC08,SC09,SC10,SC11,SC12,SC13,SC14,SC15,SC16,SC17,SC18,SC19,SC20,SC21,SC22,SC23,SC24,SC25,SC26,SC27,SC28
P01,0.8,0.79,0.88,0.64,0.87,0.76,0.91,0.87,0.84,0.7,0.81,0.91,0.97,0.93,0.64,0.79,0.56,0.98,0.75,0.83,0.6,0.87,0.73,0.84,0.69,0.87,0.68,0.77
P02,0.91,0.78,0.82,0.7,0.94,0.82,1.0,0.92,0.87,0.77,1.0,0.96,1.0,0.87,0.74,0.84,0.7,0.91,0.93,0.85,0.86,0.61,0.91,1.0,0.94,1.0,0.86,0.79
P03,0.75,0.83,0.92,0.83,0.95,0.64,0.95,1.0,0.75,0.72,0.92,0.86,0.98,0.86,0.71,0.77,0.71,0.97,0.75,1.0,0.83,0.79,0.8,0.67,0.94,1.0,1.0,0.76
P04,0.69,0.71,1.0,0.75,0.92,0.76,1.0,0.84,0.76,0.8,1.0,0.94,0.88,1.0,0.81,0.86,0.94,0.89,0.88,0.78,0.77,0.72,0.76,0.78,0.88,1.0,0.89,0.72
P05,0.84,0.64,0.74,0.61,0.95,0.58,0.79,0.74,0.64,0.66,0.86,0.82,0.93,0.94,0.75,0.7,0.55,0.72,0.8,0.71,0.63,0.7,0.68,0.93,0.76,0.79,0.74,0.64
P06,0.8,0.8,0.8,0.75,0.92,0.7,0.85,0.89,0.85,0.59,0.87,0.75,0.86,0.93,0.52,0.8,0.74,0.81,0.81,0.7,0.74,0.81,0.79,0.99,0.79,0.86,0.95,0.79
P07,0.73,0.68,0.78,0.78,0.79,0.69,0.94,0.96,0.62,0.76,0.88,0.88,0.83,0.77,0.76,0.73,0.71,0.88,0.75,0.92,0.57,0.66,0.58,0.86,0.97,0.89,0.68,0.49
P08,0.83,0.79,0.85,0.82,1.0,0.78,0.96,1.0,0.75,0.75,0.89,0.93,0.84,0.81,0.96,0.82,0.75,0.96,0.97,0.9,0.81,1.0,1.0,0.92,0.86,0.96,0.93,0.77
P09,0.88,0.83,0.79,0.76,0.93,0.8,0.94,0.92,0.87,0.77,0.87,0.94,0.83,0.94,0.94,0.81,0.76,1.0,0.97,0.97,0.77,0.71,0.94,0.85,0.77,0.91,0.86,0.67
P10,0.74,0.76,0.85,0.77,0.8,0.67,0.83,0.91,0.83,0.64,0.95,0.89,0.95,0.87,0.67,0.87,0.81,1.0,0.86,0.78,0.76,0.83,0.59,0.84,0.95,0.87,0.79,0.72
P11,0.75,0.69,0.77,0.57,0.77,0.6,0.84,0.76,0.6,0.64,0.97,0.9,0.73,0.86,0.61,0.72,0.63,0.88,0.71,0.64,0.74,0.7,0.78,0.87,0.77,0.76,0.71,0.71
P12,0.93,0.99,0.84,0.82,0.97,0.73,1.0,0.88,0.85,0.75,1.0,0.87,0.89,0.95,0.83,0.82,0.89,1.0,0.74,0.88,0.77,0.85,0.77,0.9,1.0,0.98,0.9,0.68
P13,0.84,0.72,0.97,0.87,1.0,0.77,0.97,0.86,0.94,0.6,1.0,0.91,1.0,1.0,0.79,0.79,0.91,0.9,0.93,0.84,0.71,0.75,0.89,0.97,0.98,1.0,0.92,0.84
P14,0.64,0.86,0.85,0.72,0.75,0.71,0.85,0.76,0.96,0.72,0.97,0.86,0.83,0.91,0.76,0.81,0.7,0.81,0.75,0.8,0.62,0.73,0.78,0.74,0.72,0.91,0.62,0.68
P15,0.78,0.98,0.7,0.67,0.93,0.58,0.88,0.85,0.7,0.69,0.94,0.73,0.81,0.77,0.72,0.66,0.62,0.87,0.77,0.82,0.77,0.72,0.7,0.75,0.87,1.0,1.0,0.53
P16,0.67,0.63,0.77,0.76,0.87,0.73,0.78,0.85,0.8,0.67,0.92,0.91,0.77,0.82,0.51,0.7,0.73,0.82,0.77,0.6,0.73,0.67,0.79,0.84,0.8,1.0,0.85,0.76
P17,0.69,0.47,0.64,0.55,0.83,0.62,0.76,0.79,0.57,0.54,0.85,0.67,0.82,0.71,0.63,0.47,0.52,0.82,0.75,0.74,0.55,0.69,0.56,0.59,0.74,0.92,0.54,0.44
P18,0.63,0.66,0.74,0.52,0.74,0.63,0.75,0.7,0.52,0.58,0.58,0.61,0.67,0.73,0.58,0.62,0.74,0.8,0.61,0.64,0.71,0.71,0.68,0.81,0.79,0.7,0.72,0.51
P19,0.68,0.42,0.65,0.62,0.73,0.56,0.85,0.84,0.55,0.5,0.78,0.71,0.64,0.72,0.44,0.53,0.58,0.82,0.73,0.65,0.45,0.5,0.72,0.57,0.6,0.67,0.63,0.52
P20,0.51,0.57,0.68,0.49,0.64,0.66,0.73,0.78,0.59,0.43,0.65,0.6,0.71,0.6,0.48,0.57,0.57,0.53,0.69,0.7,0.3,0.61,0.48,0.57,0.71,0.84,0.54,0.63
P21,0.67,0.57,0.72,0.51,0.91,0.59,0.65,0.69,0.74,0.56,0.8,0.58,0.76,0.74,0.64,0.64,0.64,0.8,0.66,0.57,0.54,0.67,0.65,0.84,0.73,0.93,0.7,0.51
P22,0.59,0.64,0.66,0.43,0.53,0.47,0.72,0.67,0.61,0.5,0.59,0.82,0.58,0.73,0.31,0.55,0.52,0.56,0.66,0.53,0.43,0.56,0.56,0.73,0.59,0.71,0.52,0.47
P23,0.61,0.53,0.57,0.48,0.76,0.58,0.89,0.86,0.35,0.43,0.5,0.77,0.71,0.64,0.49,0.54,0.49,0.8,0.65,0.49,0.59,0.56,0.59,0.77,0.79,0.68,0.65,0.67
P24,0.68,0.6,0.67,0.44,0.6,0.6,0.78,0.62,0.54,0.5,0.71,0.68,0.61,0.88,0.55,0.78,0.57,0.76,0.71,0.51,0.45,0.61,0.64,0.61,0.7,0.77,0.66,0.69
P25,0.66,0.66,0.85,0.66,0.7,0.58,0.83,0.75,0.45,0.42,0.56,0.69,0.65,0.75,0.57,0.59,0.61,0.79,0.69,0.68,0.38,0.71,0.74,0.7,0.74,0.8,0.73,0.57
P26,0.81,0.7,0.72,0.49,0.71,0.57,0.92,0.67,0.58,0.65,0.78,0.76,0.73,0.8,0.55,0.58,0.55,0.86,0.63,0.78,0.58,0.63,0.57,0.79,0.73,0.85,0.84,0.57
P27,0.43,0.55,0.62,0.55,0.73,0.56,0.65,0.73,0.42,0.6,0.75,0.76,0.61,0.77,0.46,0.31,0.51,0.64,0.47,0.58,0.47,0.51,0.61,0.77,0.76,0.66,0.65,0.48
P28,0.58,0.67,0.8,0.59,0.59,0.4,0.77,0.73,0.55,0.5,0.78,0.89,0.72,0.69,0.57,0.7,0.63,0.89,0.82,0.7,0.73,0.68,0.7,0.68,0.7,0.91,0.54,0.59
P29,0.68,0.5,0.64,0.6,0.84,0.57,0.64,0.69,0.65,0.5,0.73,0.6,0.69,0.79,0.63,0.6,0.61,0.81,0.57,0.66,0.54,0.54,0.65,0.89,0.68,0.81,0.7,0.51
P30,0.49,0.6,0.58,0.51,0.6,0.53,0.74,0.78,0.51,0.52,0.66,0.64,0.61,0.64,0.36,0.58,0.33,0.67,0.6,0.52,0.72,0.68,0.53,0.71,0.54,0.62,0.7,0.5
P31,0.64,0.6,0.73,0.57,0.77,0.51,0.79,0.72,0.54,0.63,0.71,0.93,0.82,0.82,0.58,0.62,0.69,0.73,0.74,0.74,0.58,0.65,0.63,0.73,0.86,0.83,0.72,0.57
P32,0.69,0.59,0.66,0.55,0.44,0.48,0.7,0.55,0.45,0.52,0.57,0.72,0.75,0.75,0.58,0.7,0.49,0.67,0.6,0.47,0.65,0.53,0.59,0.66,0.56,0.74,0.64,0.63
P33,0.79,0.52,0.67,0.47,0.72,0.4,0.72,0.56,0.49,0.36,0.59,0.58,0.39,0.65,0.46,0.68,0.44,0.64,0.61,0.61,0.45,0.52,0.64,0.66,0.67,0.65,0.64,0.4
P34,0.76,0.65,0.69,0.63,0.84,0.8,0.9,0.86,0.65,0.43,0.9,0.9,0.88,0.77,0.68,0.74,0.53,0.89,0.87,0.64,0.63,0.86,0.77,0.83,0.67,0.78,0.7,0.76
P35,0.84,0.85,0.77,0.56,0.74,0.68,0.68,0.77,0.68,0.62,0.92,0.88,0.83,0.89,0.76,0.74,0.58,0.8,0.88,0.71,0.61,0.72,0.79,0.91,0.64,0.95,0.76,0.68
P36,0.72,0.61,0.73,0.65,0.87,0.62,1.0,0.75,0.67,0.83,0.87,0.76,0.62,0.65,0.63,0.7,0.63,0.82,0.79,0.69,0.63,0.58,0.46,0.98,0.66,0.75,0.8,0.57
P37,0.61,0.67,0.7,0.56,0.87,0.7,0.71,0.69,0.54,0.53,0.76,0.74,0.61,0.59,0.62,0.56,0.48,0.74,0.57,0.41,0.52,0.63,0.61,0.68,0.56,0.84,0.72,0.59
