Province,SC01,SC02,SC03,SC04,SC05,SC06,SC07,SC08,SC09,SC10,SC11,SC12,SC13,SC14,SC15,SC16,SC17,SC18,SC19,SC20,SC21,SC22,SC23,SC24,SC25,SC26,SC27,SC28
P01,0.85,0.92,0.78,0.83,0.95,0.78,1.0,0.88,0.7,0.69,0.96,0.97,1.0,1.0,0.61,0.81,0.74,0.94,0.84,0.74,0.75,0.95,0.78,0.97,1.0,1.0,0.83,0.75
P02,1.0,0.74,0.95,0.84,1.0,0.83,1.0,1.0,0.77,0.63,1.0,1.0,0.85,1.0,0.79,0.87,0.88,1.0,1.0,0.89,0.87,1.0,0.91,1.0,1.0,1.0,0.99,0.62
P03,0.83,0.89,1.0,0.77,0.95,0.81,1.0,1.0,1.0,0.79,1.0,1.0,0.93,1.0,0.85,0.85,0.61,1.0,0.92,0.92,0.81,0.86,0.79,0.99,1.0,1.0,0.88,0.85
P04,0.73,0.73,0.9,0.63,1.0,0.67,0.85,0.95,0.76,0.73,0.84,0.99,0.94,0.86,0.77,0.69,0.88,0.98,0.86,0.71,0.78,0.8,1.0,0.98,0.91,1.0,1.0,0.87
P05,0.91,0.8,0.8,0.65,1.0,0.82,0.91,0.9,0.92,0.74,0.88,0.87,0.73,0.79,0.59,0.72,0.62,0.83,0.71,0.68,0.69,0.8,1.0,0.82,0.9,0.84,0.65,0.81
P06,0.74,0.68,0.74,0.7,0.95,0.55,1.0,1.0,0.73,0.76,0.9,0.92,0.75,0.84,0.79,0.78,0.75,0.99,0.75,0.64,0.59,0.65,0.98,0.97,0.93,0.94,0.84,0.72
P07,0.7,0.78,0.82,0.86,0.98,0.68,0.84,0.97,0.61,0.56,0.87,0.73,0.73,0.98,0.57,0.72,0.58,0.92,0.78,0.66,0.64,0.77,0.83,0.91,1.0,0.96,0.72,0.8
P08,0.85,0.96,1.0,0.81,0.99,0.78,1.0,1.0,0.81,0.75,0.91,1.0,0.9,0.95,0.95,0.74,0.79,1.0,0.97,0.82,0.73,0.68,0.79,0.93,1.0,0.84,0.96,0.84
P09,0.79,0.86,0.83,0.83,1.0,0.9,0.97,0.96,0.69,0.76,1.0,0.93,0.94,1.0,0.72,1.0,0.8,0.89,0.85,0.92,0.63,0.81,0.91,0.88,0.95,0.9,0.91,1.0
P10,0.9,0.83,0.86,0.89,1.0,0.74,1.0,0.89,0.77,0.89,0.96,0.85,0.86,0.94,0.77,0.85,0.8,0.99,1.0,0.82,0.68,0.76,0.83,0.94,0.78,1.0,0.88,0.82
P11,0.83,0.75,0.88,0.84,0.97,0.7,1.0,0.85,0.74,0.63,0.96,0.83,0.86,0.86,0.7,0.75,0.57,0.9,0.88,0.79,0.71,0.8,0.66,0.86,0.92,0.9,0.91,0.8
P12,0.9,0.78,1.0,0.79,1.0,0.94,0.99,0.87,0.86,0.77,1.0,1.0,0.93,1.0,0.7,1.0,0.74,1.0,0.89,0.87,0.85,0.84,0.92,0.99,1.0,1.0,1.0,0.81
P13,0.87,0.83,0.89,0.62,1.0,0.54,0.98,0.76,0.89,0.89,0.97,1.0,0.87,0.99,0.89,0.96,0.75,1.0,0.91,0.84,0.83,0.8,0.8,0.97,0.87,1.0,0.75,0.84
P14,0.87,0.79,0.87,0.59,0.93,0.68,1.0,0.97,0.71,0.65,0.83,0.99,0.82,0.84,0.72,0.8,0.75,0.92,0.83,0.81,0.65,0.98,1.0,0.81,0.72,0.88,0.87,0.71
P15,0.73,0.65,0.93,0.83,0.94,0.71,1.0,0.91,0.67,0.78,1.0,1.0,0.95,0.82,1.0,0.74,0.71,0.86,0.88,0.87,0.63,0.79,0.88,0.86,0.92,0.89,0.73,0.67
P16,0.72,0.61,0.84,0.72,0.82,0.73,0.88,0.88,0.89,0.75,0.98,0.94,0.91,0.88,0.46,0.72,0.68,0.89,0.72,0.97,0.62,0.84,0.98,0.89,0.87,0.88,0.85,0.8
P17,0.62,0.65,0.83,0.54,0.71,0.72,0.69,0.7,0.76,0.41,0.73,0.63,0.82,0.78,0.47,0.56,0.59,0.82,0.82,0.71,0.53,0.5,0.52,0.7,0.57,0.66,0.68,0.6
P18,0.56,0.62,0.77,0.66,0.81,0.71,0.81,0.75,0.6,0.48,0.84,0.69,0.65,0.71,0.59,0.74,0.63,0.81,0.89,0.61,0.45,0.82,0.64,0.8,0.62,0.85,0.61,0.7
P19,0.53,0.64,0.63,0.56,0.71,0.42,0.84,0.82,0.5,0.53,0.64,0.84,0.79,0.63,0.5,0.59,0.52,0.88,0.75,0.8,0.59,0.83,0.54,0.65,0.76,0.71,0.69,0.67
P20,0.58,0.6,0.66,0.43,0.85,0.48,0.81,0.89,0.68,0.56,0.85,0.74,0.58,0.63,0.5,0.54,0.56,0.62,0.79,0.68,0.66,0.65,0.7,0.7,0.71,0.86,0.81,0.55
P21,0.66,0.67,0.68,0.61,0.7,0.75,0.74,1.0,0.58,0.66,0.76,0.69,0.62,0.71,0.82,0.72,0.65,0.8,0.76,0.71,0.64,0.61,0.55,0.79,0.64,0.82,0.77,0.54
P22,0.67,0.58,0.52,0.52,0.8,0.51,0.77,0.74,0.44,0.53,0.6,0.58,0.72,0.61,0.58,0.66,0.45,0.78,0.63,0.61,0.55,0.5,0.61,0.72,0.77,0.65,0.85,0.52
P23,0.6,0.72,0.74,0.57,0.78,0.45,0.68,0.72,0.67,0.61,0.71,0.62,0.74,0.71,0.44,0.51,0.51,0.62,0.6,0.45,0.49,0.73,0.48,0.72,0.75,0.85,0.61,0.57
P24,0.59,0.63,0.8,0.73,0.51,0.48,0.73,0.7,0.74,0.53,0.74,0.79,0.65,0.68,0.69,0.66,0.54,0.62,0.84,0.79,0.52,0.49,0.59,0.69,0.69,0.78,0.68,0.62
P25,0.56,0.63,0.61,0.64,0.91,0.62,0.93,0.67,0.77,0.63,0.78,0.68,0.65,0.68,0.62,0.78,0.63,0.84,0.53,0.7,0.56,0.63,0.55,0.68,0.68,0.83,0.61,0.46
P26,0.71,0.54,0.82,0.65,0.8,0.68,0.84,0.91,0.74,0.64,0.88,0.82,0.84,0.78,0.53,0.48,0.65,0.95,0.79,0.64,0.62,0.74,0.82,0.83,0.82,0.97,0.88,0.62
P27,0.63,0.58,0.55,0.6,0.57,0.41,0.73,0.87,0.58,0.48,0.73,0.73,0.58,0.81,0.49,0.55,0.48,0.77,0.55,0.48,0.55,0.52,0.73,0.74,0.84,0.62,0.61,0.6
P28,0.65,0.69,0.56,0.72,0.71,0.74,0.94,0.73,0.74,0.48,0.76,0.78,0.65,0.74,0.57,0.65,0.61,0.69,0.76,0.71,0.85,0.43,0.63,0.68,0.68,0.79,0.6,0.71
P29,0.78,0.68,0.89,0.54,0.74,0.52,0.75,0.82,0.74,0.44,0.81,0.76,0.76,0.77,0.62,0.58,0.64,0.81,0.66,0.63,0.49,0.64,0.59,0.77,0.81,0.74,0.73,0.64
