Province,SC01,SC02,SC03,SC04,SC05,SC06,SC07,SC08,SC09,SC10,SC11,SC12,SC13,SC14,SC15,SC16,SC17,SC18,SC19,SC20,SC21,SC22,SC23,SC24,SC25,SC26,SC27,SC28
P01,0.54,0.7,0.8,0.72,0.77,0.93,0.87,0.9,0.76,0.64,0.79,0.81,0.81,0.79,0.72,0.62,0.75,0.95,0.82,0.62,0.64,0.62,0.64,0.84,0.93,0.95,0.67,0.56
P02,0.77,0.78,1.0,0.83,0.97,0.72,0.91,0.88,0.79,0.72,1.0,0.9,0.96,1.0,0.75,0.99,0.65,0.99,0.98,0.81,1.0,0.79,0.83,0.99,0.78,1.0,0.82,1.0
P03,0.85,0.76,0.76,0.73,0.89,0.77,0.76,1.0,0.86,0.64,0.93,0.98,0.77,0.79,0.62,0.86,0.93,0.95,0.79,0.8,0.69,0.89,0.84,0.86,0.79,0.95,0.91,0.77
P04,0.78,0.76,0.79,0.67,0.84,0.59,0.96,0.9,0.72,0.66,0.97,0.85,0.96,0.89,0.85,0.86,0.72,0.92,0.83,0.65,0.82,0.72,0.67,0.81,1.0,0.84,0.68,0.67
P05,0.63,0.64,0.87,0.65,0.78,0.51,0.97,0.81,0.58,0.55,0.74,0.63,0.81,0.91,0.6,0.73,0.6,0.61,0.83,0.69,0.55,0.65,0.59,0.6,0.84,0.78,0.79,0.83
P06,0.62,0.66,0.79,0.71,0.89,0.65,0.88,0.74,0.58,0.66,0.91,0.7,0.77,0.71,0.7,0.6,0.74,0.75,0.81,0.79,0.56,0.54,0.6,0.92,0.79,0.92,0.79,0.71
P07,0.72,0.7,0.85,0.58,0.82,0.59,0.9,0.85,0.67,0.59,0.8,0.73,0.78,0.73,0.59,0.7,0.61,0.75,0.82,0.51,0.57,0.67,0.67,0.73,0.66,0.71,0.72,0.62
P08,0.72,0.69,1.0,0.75,0.93,0.77,0.96,0.99,0.67,0.6,0.91,1.0,0.98,0.94,0.84,0.86,0.55,0.95,0.77,0.72,0.71,0.72,0.97,0.92,0.91,0.78,0.91,0.68
P09,0.68,0.89,0.82,0.73,1.0,0.74,0.93,0.86,0.9,0.69,0.99,0.85,0.9,0.91,0.87,0.69,0.75,0.78,0.82,0.87,0.63,0.74,0.79,0.85,0.98,1.0,0.71,0.64
P10,0.72,0.93,0.91,0.79,0.84,0.78,0.89,0.86,0.73,0.71,0.81,0.98,0.87,0.82,0.56,0.68,0.85,0.8,0.91,0.81,0.77,0.75,0.88,0.82,0.91,0.84,0.71,0.64
P11,0.81,0.72,0.53,0.63,0.78,0.62,0.77,0.74,0.76,0.61,0.82,0.85,0.76,0.9,0.55,0.68,0.61,0.78,0.73,0.72,0.62,0.76,0.73,0.68,0.77,0.91,0.67,0.5
P12,0.73,0.91,0.89,0.75,0.97,0.73,0.9,0.99,0.65,0.71,0.87,0.87,0.9,0.95,0.7,0.87,0.58,1.0,0.94,0.77,0.74,0.74,0.64,0.81,0.9,1.0,0.87,0.69
P13,0.94,0.71,0.82,0.77,1.0,0.74,1.0,0.88,0.57,0.7,0.82,0.9,0.94,1.0,0.85,0.92,0.87,1.0,0.86,0.72,0.67,0.9,1.0,0.81,0.83,0.85,0.98,0.79
P14,0.73,0.64,0.79,0.75,0.89,0.51,0.88,0.81,0.61,0.57,0.62,0.78,0.78,0.92,0.61,0.66,0.63,0.96,0.77,0.55,0.61,0.72,0.73,0.71,0.73,0.89,0.74,0.78
P15,0.67,0.5,0.6,0.68,0.84,0.47,0.79,0.9,0.69,0.64,0.78,0.85,0.84,0.76,0.7,0.8,0.52,0.84,0.89,0.84,0.7,0.67,0.76,0.86,0.66,0.71,0.7,0.73
P16,0.8,0.69,0.67,0.65,0.72,0.67,0.87,0.83,0.67,0.57,0.8,0.87,0.6,0.71,0.65,0.74,0.45,0.79,0.93,1.0,0.74,0.73,0.73,0.88,0.85,0.92,0.82,0.89
P17,0.63,0.52,0.68,0.49,0.49,0.34,0.57,0.64,0.45,0.36,0.76,0.67,0.61,0.52,0.42,0.56,0.57,0.55,0.64,0.47,0.47,0.49,0.5,0.64,0.5,0.59,0.46,0.48
P18,0.64,0.58,0.67,0.42,0.63,0.45,0.67,0.64,0.57,0.49,0.62,0.62,0.61,0.52,0.34,0.44,0.47,0.67,0.71,0.58,0.46,0.53,0.54,0.8,0.64,0.79,0.49,0.59
P19,0.47,0.61,0.44,0.57,0.64,0.47,0.82,0.66,0.5,0.54,0.86,0.57,0.78,0.68,0.48,0.57,0.72,0.61,0.75,0.65,0.44,0.4,0.58,0.62,0.56,0.59,0.66,0.51
P20,0.51,0.35,0.61,0.41,0.54,0.61,0.65,0.58,0.4,0.43,0.66,0.55,0.57,0.59,0.55,0.52,0.37,0.7,0.66,0.55,0.54,0.59,0.59,0.42,0.61,0.59,0.5,0.48
P21,0.58,0.52,0.59,0.67,0.64,0.52,1.0,0.72,0.7,0.68,0.7,0.72,0.76,0.75,0.47,0.51,0.52,0.63,0.57,0.82,0.45,0.6,0.61,0.62,0.7,0.86,0.73,0.42
P22,0.56,0.53,0.56,0.41,0.71,0.39,0.65,0.57,0.27,0.53,0.61,0.53,0.57,0.56,0.5,0.53,0.41,0.62,0.63,0.53,0.39,0.51,0.63,0.59,0.6,0.85,0.58,0.4
P23,0.39,0.51,0.77,0.32,0.8,0.29,0.76,0.61,0.46,0.31,0.55,0.56,0.64,0.57,0.48,0.59,0.29,0.58,0.56,0.51,0.52,0.6,0.53,0.55,0.63,0.6,0.57,0.52
P24,0.52,0.47,0.5,0.54,0.67,0.54,0.85,0.65,0.51,0.53,0.64,0.75,0.61,0.69,0.56,0.52,0.44,0.65,0.68,0.73,0.53,0.5,0.63,0.64,0.6,0.77,0.58,0.48
P25,0.57,0.79,0.64,0.46,0.66,0.52,0.7,0.81,0.33,0.42,0.7,0.63,0.5,0.84,0.69,0.65,0.53,0.69,0.48,0.63,0.52,0.54,0.64,0.7,0.78,0.8,0.6,0.4
P26,0.61,0.57,0.52,0.64,0.76,0.44,0.73,0.61,0.65,0.5,0.71,0.72,0.67,0.84,0.7,0.61,0.49,0.81,0.62,0.69,0.54,0.58,0.54,0.65,0.61,0.86,0.55,0.64
P27,0.65,0.55,0.55,0.44,0.75,0.41,0.72,0.65,0.53,0.49,0.68,0.59,0.57,0.66,0.55,0.5,0.4,0.64,0.66,0.6,0.37,0.54,0.47,0.72,0.68,0.71,0.4,0.44
P28,0.66,0.43,0.56,0.54,0.75,0.44,0.69,0.59,0.51,0.35,0.65,0.65,0.67,0.77,0.39,0.44,0.69,0.66,0.76,0.42,0.51,0.49,0.57,0.83,0.79,0.75,0.67,0.53
P29,0.67,0.63,0.59,0.42,0.65,0.52,0.73,0.68,0.5,0.46,0.77,0.76,0.73,0.73,0.48,0.42,0.38,0.78,0.73,0.55,0.56,0.62,0.53,0.83,0.57,0.67,0.72,0.43
