Province,SC01,SC02,SC03,SC04,SC05,SC06,SC07,SC08,SC09,SC10,SC11,SC12,SC13,SC14,SC15,SC16,SC17,SC18,SC19,SC20,SC21,SC22,SC23,SC24,SC25,SC26,SC27,SC28
P01,0.8,0.78,0.96,0.76,0.98,0.72,0.95,0.98,0.64,0.66,0.78,0.82,0.94,0.94,0.84,0.8,0.68,1.0,0.9,0.78,0.71,0.76,0.8,0.8,0.83,1.0,0.86,0.58
P02,0.84,0.75,0.94,0.88,1.0,0.61,1.0,0.96,0.85,0.81,0.86,0.93,0.97,1.0,0.9,0.81,0.75,1.0,0.92,0.88,0.87,0.75,0.85,1.0,0.99,0.99,0.89,0.77
P03,0.89,0.74,0.96,0.83,1.0,0.66,1.0,0.79,0.67,0.69,0.87,0.91,1.0,0.77,0.72,0.92,0.8,0.81,0.97,0.71,0.71,0.94,0.9,0.96,0.95,0.96,0.95,0.81
P04,0.83,0.74,0.83,0.78,0.92,0.77,0.96,0.85,0.68,0.82,0.93,1.0,0.92,1.0,0.77,0.85,0.68,0.89,1.0,0.75,0.71,0.71,0.82,0.97,0.98,0.9,0.83,0.8
P05,0.71,0.66,0.83,0.87,0.93,0.85,0.87,0.86,0.8,0.79,0.94,0.98,0.77,1.0,0.59,0.58,0.62,0.84,0.76,0.72,0.86,0.8,0.75,0.91,0.92,0.97,0.76,0.74
P06,0.81,0.75,0.82,0.76,0.74,0.7,0.83,0.85,0.64,0.62,1.0,0.78,0.77,0.88,0.93,0.64,0.67,0.9,0.96,0.88,0.61,0.85,0.66,0.78,0.77,0.93,0.8,0.7
P07,0.83,0.72,0.64,0.7,0.84,0.46,0.7,0.82,0.77,0.89,1.0,0.72,0.86,0.95,0.65,0.77,0.76,1.0,0.76,0.68,0.65,0.77,0.71,0.9,0.78,0.94,0.8,0.77
P08,0.89,0.8,0.95,0.74,1.0,0.85,0.98,0.99,0.84,0.94,1.0,1.0,1.0,0.93,0.82,0.88,0.78,1.0,0.89,0.81,0.93,0.85,0.74,0.95,0.95,1.0,0.88,0.8
P09,0.77,0.88,0.9,0.74,0.9,0.68,0.98,0.97,0.7,0.76,0.99,0.91,0.81,1.0,0.72,0.75,0.93,1.0,1.0,0.76,0.6,0.74,0.84,0.82,0.79,1.0,0.86,0.69
P10,1.0,0.82,1.0,0.84,0.94,0.54,1.0,0.9,0.81,0.7,0.84,0.88,0.89,0.96,0.84,0.8,0.98,0.9,0.94,0.76,0.74,0.81,0.9,0.99,0.81,1.0,0.89,0.82
P11,0.74,0.72,0.82,0.63,0.92,0.63,0.87,0.86,0.7,0.71,0.72,0.76,0.84,0.77,0.67,0.8,0.67,0.83,0.91,0.71,0.72,0.72,0.72,0.92,0.78,1.0,0.56,0.55
P12,0.91,0.92,0.86,0.89,1.0,0.93,0.98,0.99,0.8,0.89,0.76,1.0,0.97,0.89,0.74,0.87,0.95,0.94,0.96,0.8,0.81,0.85,0.87,1.0,1.0,1.0,0.89,0.73
P13,0.73,0.74,0.87,0.81,1.0,0.84,1.0,1.0,0.77,0.84,0.92,0.95,1.0,1.0,0.84,0.95,0.6,0.98,0.91,0.91,0.77,0.88,0.93,0.97,0.84,1.0,0.95,0.87
P14,0.77,0.63,0.97,0.71,0.93,0.64,0.94,0.92,0.69,0.76,0.74,0.89,0.9,0.9,0.79,0.7,0.64,0.85,0.81,0.67,0.59,0.68,0.81,0.81,0.73,0.95,0.89,0.62
P15,0.69,0.75,0.8,0.76,0.9,0.8,0.93,0.82,0.76,0.75,0.93,0.85,0.86,0.82,0.75,0.77,0.7,1.0,0.9,0.9,0.77,0.81,0.76,0.83,0.9,0.8,0.7,0.67
P16,0.74,0.76,0.97,0.62,0.84,0.66,0.93,0.8,0.65,0.64,0.8,0.9,0.85,0.68,0.76,0.76,0.72,0.8,0.83,0.72,0.58,0.72,0.76,0.87,0.92,0.91,0.98,0.75
P17,0.63,0.53,0.76,0.52,0.59,0.63,0.9,0.74,0.56,0.57,0.74,0.67,0.61,0.79,0.35,0.54,0.58,0.68,0.59,0.6,0.55,0.51,0.59,0.71,0.65,0.82,0.67,0.56
P18,0.61,0.66,0.48,0.58,0.73,0.63,0.85,0.7,0.43,0.64,0.76,0.76,0.79,0.7,0.53,0.62,0.47,0.73,0.72,0.63,0.57,0.57,0.65,0.73,0.73,0.79,0.75,0.55
P19,0.63,0.61,0.66,0.62,0.58,0.44,0.79,0.79,0.46,0.52,0.97,0.83,0.91,0.68,0.39,0.66,0.57,0.76,0.74,0.59,0.65,0.51,0.72,0.8,0.62,0.77,0.66,0.63
P20,0.89,0.54,0.6,0.63,0.82,0.53,0.79,0.82,0.48,0.47,0.85,0.65,0.67,0.73,0.57,0.63,0.63,0.62,0.66,0.62,0.45,0.42,0.49,0.73,0.7,0.69,0.57,0.42
