Province,SC01,SC02,SC03,SC04,SC05,SC06,SC07,SC08,SC09,SC10,SC11,SC12,SC13,SC14,SC15,SC16,SC17,SC18,SC19,SC20,SC21,SC22,SC23,SC24,SC25,SC26,SC27,SC28
P01,0.76,0.57,0.8,0.59,0.65,0.65,0.94,0.78,0.67,0.61,0.79,0.79,0.71,0.94,0.73,0.75,0.82,0.93,0.8,0.82,0.66,0.77,0.7,0.77,0.82,0.67,0.81,0.62
P02,0.84,0.83,0.92,0.73,0.9,0.78,1.0,0.94,0.84,0.84,0.98,0.81,1.0,1.0,0.75,0.85,0.81,0.96,0.9,0.8,0.61,0.78,0.86,1.0,0.92,0.93,0.83,0.77
P03,0.75,0.75,0.92,0.83,0.91,0.69,0.97,0.93,0.66,0.78,0.86,0.83,0.96,0.94,0.78,0.85,0.79,1.0,0.86,0.95,0.65,0.64,0.88,0.79,0.79,1.0,0.84,0.62
P04,0.84,0.83,0.91,0.78,0.95,0.77,0.84,0.92,0.76,0.64,0.95,0.71,0.87,0.97,0.65,0.96,0.76,0.85,1.0,0.77,0.61,0.72,0.9,0.77,0.88,0.94,0.84,0.86
P05,0.67,0.68,0.84,0.58,0.79,0.8,0.77,0.94,0.72,0.77,0.73,0.65,0.93,0.75,0.64,0.77,0.66,0.91,0.68,0.73,0.85,0.61,0.65,0.76,0.87,0.78,0.71,0.68
P06,0.58,0.74,0.79,0.61,0.78,0.71,0.9,0.6,0.73,0.57,0.85,0.67,0.91,0.85,0.59,0.74,0.69,0.67,0.67,0.71,0.58,0.73,0.7,0.71,0.57,0.74,0.64,0.7
P07,0.65,0.66,0.69,0.7,0.65,0.57,1.0,0.78,0.74,0.53,0.81,0.82,0.77,0.84,0.62,0.58,0.6,0.86,0.72,0.63,0.7,0.63,0.58,0.72,0.74,0.94,0.58,0.73
P08,0.89,0.84,0.76,0.84,0.94,0.8,0.92,1.0,0.8,0.67,1.0,0.93,0.89,0.94,0.9,0.75,0.6,0.99,0.8,0.8,0.82,0.72,0.87,0.97,0.84,0.85,0.89,0.95
P09,0.98,0.86,0.83,0.75,0.86,0.78,0.96,0.86,0.81,0.57,0.93,0.91,0.85,0.85,0.71,0.8,0.69,0.73,0.81,0.77,0.64,0.66,0.66,0.95,0.82,1.0,0.83,0.71
P10,0.82,0.8,0.84,0.71,0.81,0.76,0.82,0.92,0.67,0.77,0.9,0.83,0.93,0.89,0.94,0.82,0.71,0.96,0.88,0.65,0.83,0.79,0.84,0.89,0.78,0.92,0.73,0.62
P11,0.63,0.63,0.81,0.64,0.78,0.67,0.81,0.64,0.64,0.58,0.87,0.7,0.82,0.81,0.64,0.6,0.73,0.83,0.88,0.71,0.71,0.71,0.69,0.98,0.75,0.85,0.59,0.66
P12,0.85,0.92,0.84,0.76,0.99,0.75,0.98,1.0,0.87,0.73,0.77,1.0,0.78,0.95,0.81,0.95,0.83,0.96,0.88,0.9,0.83,0.73,0.86,0.86,0.85,0.99,0.96,0.71
