Province,SC01,SC02,SC03,SC04,SC05,SC06,SC07,SC08,SC09,SC10,SC11,SC12,SC13,SC14,SC15,SC16,SC17,SC18,SC19,SC20,SC21,SC22,SC23,SC24,SC25,SC26,SC27,SC28
P01,0.82,0.62,0.71,0.85,0.86,0.67,0.94,0.84,0.75,0.62,1.0,0.8,0.87,0.98,0.71,0.69,0.79,0.97,0.73,0.78,0.82,0.8,0.87,0.84,0.79,0.84,0.78,0.78
P02,0.85,0.87,0.95,0.8,0.82,0.84,0.97,0.9,0.81,0.84,0.97,0.91,1.0,1.0,0.92,0.75,0.71,1.0,0.91,0.88,0.7,0.82,0.88,0.92,0.93,0.96,0.93,0.68
P03,0.74,1.0,0.88,0.8,1.0,0.75,1.0,0.97,0.71,0.78,0.89,0.78,0.83,0.98,0.67,0.73,0.76,1.0,0.92,0.77,0.69,0.79,0.71,0.9,0.93,0.95,0.96,0.82
P04,0.83,0.66,0.78,0.67,0.83,0.57,0.92,0.7,0.9,0.7,0.89,0.8,0.7,0.88,0.81,0.84,0.64,1.0,0.88,0.82,0.83,0.76,0.81,0.99,0.83,0.96,0.78,0.84
P05,0.67,0.66,0.78,0.58,0.76,0.57,1.0,0.77,0.79,0.66,0.75,0.69,0.76,0.84,0.63,0.71,0.72,0.9,0.82,0.74,0.73,0.59,0.8,0.81,0.79,0.81,0.8,0.71
P06,0.72,0.7,0.96,0.76,0.94,0.58,0.89,0.91,0.73,0.43,0.79,0.84,0.94,0.86,0.64,0.72,0.59,0.84,0.81,0.75,0.7,0.77,0.56,0.72,0.87,0.85,0.84,0.62
P07,0.6,0.87,0.85,0.64,0.96,0.73,0.87,0.68,0.69,0.61,0.94,0.82,0.91,0.61,0.62,0.75,0.62,0.82,0.77,0.7,0.57,0.57,0.64,0.83,0.64,0.87,0.88,0.67
P08,0.86,0.78,0.99,0.64,1.0,0.69,0.95,0.89,0.82,0.75,1.0,1.0,0.81,1.0,0.86,0.85,0.8,0.97,0.97,0.93,0.88,0.79,0.88,0.99,0.98,0.95,0.77,0.77
P09,0.8,0.7,0.79,0.75,0.83,0.56,0.87,0.98,0.67,0.77,0.79,0.91,1.0,0.89,0.6,0.84,0.65,0.98,0.76,0.78,0.65,0.62,0.94,0.94,0.95,0.88,0.82,0.88
P10,0.83,0.69,0.8,0.95,0.86,0.75,1.0,1.0,0.82,0.64,1.0,0.95,0.93,0.82,0.84,0.73,0.61,0.97,1.0,0.83,0.75,0.88,0.7,1.0,0.81,0.94,0.95,0.65
