Province,SC01,SC02,SC03,SC04,SC05,SC06,SC07,SC08,SC09,SC10,SC11,SC12,SC13,SC14,SC15,SC16,SC17,SC18,SC19,SC20,SC21,SC22,SC23,SC24,SC25,SC26,SC27,SC28
P01,0.66,0.64,0.84,0.63,1.0,0.52,1.0,0.92,0.69,0.7,0.83,0.77,0.78,0.91,0.67,0.74,0.63,0.76,0.79,0.68,0.51,0.76,0.7,0.8,0.74,0.82,0.8,0.77
P02,0.77,0.8,0.75,0.86,0.91,0.65,0.97,0.83,0.74,0.7,0.9,0.9,0.86,0.97,0.88,0.88,0.82,0.98,0.93,0.79,0.67,0.88,0.82,0.95,0.89,0.82,0.84,0.68
P03,0.74,0.71,0.83,0.72,0.87,0.7,0.87,0.91,0.62,0.73,0.87,0.99,0.87,0.86,0.55,0.73,0.74,0.89,0.78,0.73,0.71,0.78,0.69,0.84,0.83,0.93,0.93,0.68
P04,0.75,0.73,0.9,0.82,0.85,0.81,0.95,0.8,0.71,0.61,0.84,0.88,0.82,0.86,0.56,0.66,0.81,0.85,0.87,0.71,0.81,0.72,0.74,0.77,0.77,0.92,0.86,0.56
P05,0.62,0.65,0.57,0.48,0.81,0.7,0.95,0.68,0.68,0.66,0.72,0.87,0.79,0.8,0.63,0.72,0.63,0.95,0.73,0.62,0.62,0.76,0.72,0.79,0.86,0.87,0.63,0.58
P06,0.63,0.65,0.73,0.61,0.77,0.72,0.77,1.0,0.63,0.66,0.98,0.71,0.7,0.83,0.57,0.65,0.72,1.0,0.84,0.73,0.67,0.78,0.69,0.83,0.79,1.0,0.77,0.55
P07,0.72,0.53,0.8,0.56,0.63,0.65,0.95,0.69,0.67,0.59,0.65,0.9,0.64,0.83,0.61,0.81,0.51,0.69,0.68,0.72,0.64,0.66,0.75,0.96,0.59,0.78,0.74,0.55
P08,0.72,0.78,0.82,0.59,0.89,0.75,0.85,0.72,0.82,0.75,0.87,0.99,1.0,0.95,0.65,1.0,0.67,0.89,0.94,0.77,0.67,0.8,0.81,0.89,0.82,0.91,0.82,0.91
P09,0.77,0.86,0.75,0.87,0.79,0.71,0.93,0.87,0.68,0.57,0.93,1.0,0.99,0.82,0.8,0.68,0.77,0.95,0.72,0.77,0.69,0.71,0.64,0.83,0.85,0.89,0.83,0.78
P10,0.74,0.75,0.72,0.8,0.89,0.62,1.0,0.86,0.62,0.73,1.0,0.86,0.89,0.88,0.75,0.78,0.72,0.93,0.85,0.9,0.7,0.74,0.82,0.73,0.97,0.88,0.75,0.63
P11,0.62,0.65,0.64,0.69,0.88,0.4,0.77,0.79,0.5,0.53,0.73,0.72,0.77,0.85,0.64,0.68,0.6,0.86,0.87,0.62,0.44,0.62,0.59,0.68,0.78,0.75,0.7,0.51
P12,0.95,0.93,0.92,0.73,0.84,0.67,0.88,0.87,0.68,0.83,0.9,0.83,0.76,1.0,0.73,0.75,0.84,0.93,0.82,0.79,1.0,0.85,0.71,1.0,0.84,0.88,0.84,0.71
P13,0.69,0.97,0.71,0.69,1.0,0.67,0.92,0.87,0.74,0.67,0.93,0.93,0.99,0.9,0.7,0.9,0.8,1.0,0.93,0.81,0.66,0.8,1.0,0.8,0.74,0.91,0.76,0.77
P14,0.82,0.6,0.76,0.62,0.78,0.62,0.97,0.9,0.61,0.48,0.71,0.86,0.78,0.76,0.53,0.71,0.68,0.84,0.79,0.72,0.7,0.66,0.67,0.84,0.87,0.85,0.7,0.71
P15,0.76,0.82,0.62,0.64,0.73,0.62,0.89,0.83,0.68,0.71,0.7,0.75,0.86,0.73,0.74,0.62,0.75,0.85,0.66,0.62,0.55,0.64,0.73,0.74,0.72,1.0,0.68,0.67
